\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Accessories_MedicalImaging_FreeDetector_MMMI_567_1.rfa,Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Mechanical Services (ME)\Alarm_Oxygen_Depletion_MRI_MEGE_014.rfa,Mechanical Equipment
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Analyser_Rotem_MMLA_508.rfa,Specialty Equipment
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Annunciator_NurseCall_Audio_FlushCeilingMounted_ITCL_001.rfa,Nurse Call Devices
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Annunciator_NurseCall_Screen_CeilingMounted_ITCL_509.rfa,Nurse Call Devices
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Annunciator_NurseCall_Screen_WallMounted_ITCL_522.rfa,Nurse Call Devices
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Automation_Unit_Loading_Unloading_Module_MMIC_529.rfa,Specialty Equipment
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Specialty Equipment\Baby_Change_Table_SEQ.rfa,Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\BackRest_AccessibleWC_WallMounted_FIRT_507.rfa,Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\BackRest_AccessibleWC_WallMounted_MH_FIRT_519.rfa,Furniture
"\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Doors, Windows & Accessories (DW)\Barrier_Retractable_WallMounted_DWGE_500.rfa",Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Bars_Parallel_Electronic_MMAH_512.rfa,Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Bars_Parallel_MMAH_001.rfa,Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\BenchSeat_Fixed_Shower_IntegratedWithShowerPartition_800W_300D_450H_FIGE_500.rfa,Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Electrical Services (EL)\Body_Protected_Electrical_Area_ELPR_001.rfa,Electrical Fixtures
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Medical & Laboratory Equipment (MM)\Box_Alarm_MRI_MMMI_171.rfa,Specialty Equipment
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Information & Communication Services (IT)\Box_IPTV_MountedBehindScreen_ITAV_544.rfa,Electrical Equipment
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_DiagnosticSet_WallMounted_FIHR_540.rfa,Furniture
\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\Fixtures & Fittings (FI)\Bracket_DualMonitors_DeskMounted_VerticalArrangement_CardiacCentralStation_FIHR_600.rfa,Furniture
