MissingFamilyName,HostFilePath,FamilyBaseDataRootFamilies.categoryName,New FamilyName
FRH184CL,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\FRH184CL.rfa,Furniture,BanquetteSeat_1840W_790D_1250H_Jardan_FUR
FRH186L,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\FRH186L.rfa,Furniture,BanquetteSeat_1860W_790D_1250H_Jardan_FUR
FRH190,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\FRH190.rfa,Furniture,BanquetteSeat_1900W_790D_1250H_Jardan_FUR
SANH560,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\SANH560.rfa,Plumbing Fixtures,Basin_560W_450D_190D_PLU
SANH610,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\SANH610.rfa,Plumbing Fixtures,Basin_610W_575D_200D_PLU
PlumbingFixture_Basin_Britex_HBGU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\PlumbingFixture_Basin_Britex_HBGU.rfa,Plumbing Fixtures,Basin_Britex_450W_400D_300H_PLU
43854_Basin-Wall-Caroma Care 600,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\43854_Basin-Wall-Caroma Care 600.rfa,Plumbing Fixtures,Basin_CaromaCare600_PLU
44512_Caroma-Care-700-Shelf-LH-Wall-Basin,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\44512_Caroma-Care-700-Shelf-LH-Wall-Basin.rfa,Plumbing Fixtures,Basin_CaromaCare700_Shelf_LH_PLU
44511_Caroma-Care-700-Shelf-RH-Wall-Basin,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\44511_Caroma-Care-700-Shelf-RH-Wall-Basin.rfa,Plumbing Fixtures,Basin_CaromaCare700_Shelf_RH_PLU
Basin-Caroma Opal Shroud_Not Shared,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin-Caroma Opal Shroud_Not Shared.rfa,Plumbing Fixtures,Basin_CaromaOpal_Shroud_NotShared_PLU
Basin-Caroma Opal Shroud,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin-Caroma Opal Shroud.rfa,Plumbing Fixtures,Basin_CaromaOpal_Shroud_PLU
Caroma_Opal_510_Wall_Basin,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Caroma_Opal_510_Wall_Basin.rfa,Plumbing Fixtures,Basin_CaromaOpal510_PLU
Basin_Caroma_Opal_920Shelf,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_Caroma_Opal_920Shelf.rfa,Plumbing Fixtures,Basin_CaromaOpal920_Shelf_PLU
Basin_Caroma_Sole_Semi_Recessed,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Basin_Caroma_Sole_Semi_Recessed.rfa,Plumbing Fixtures,Basin_CaromaSole_SemiRecessed_PLU
SANH710BL_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\SANH710BL_1.rfa,Plumbing Fixtures,Basin_Shelf_LH_710W_400D_150H_PLU
SANH710BR_1,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\SANH710BR_1.rfa,Plumbing Fixtures,Basin_Shelf_RH_710W_400D_150H_PLU
PlumbingFixture_Security_Combination-Unit_Britex_SCU90S,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\PlumbingFixture_Security_Combination-Unit_Britex_SCU90S.rfa,Plumbing Fixtures,Basin_WC_SecurityCombination_Britex_PLU
Bath_Baby_Portable_FF_380_geometry,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Plumbing Fixtures\Bath_Baby_Portable_FF_380_geometry.rfa,Plumbing Fixtures,Bath_Baby_Portable_920W_530D_250H_PLU
Bed_Patient_ICU,\\bvn\data\studio\SharedAssets\Revit\RevitContent\CentralHealthLibrary\_Kinship\_Health Families Components\Furniture\Bed_Patient_ICU.rfa,Furniture,Bed_Patient_ICU_FUR
